scenario,level,cluster,name,year,metric,value
low,line,c2,fruit,2029,import_substitution,28856.25
low,line,c2,fruit,2029,exports,134662.5
low,line,c2,fruit,2029,imported_inputs,28856.25
low,line,c2,fruit,2029,forgone_exports,0.0
low,line,c2,fruit,2029,net_fx,134662.5
low,line,c2,fruit,2029,jobs,14.399999999999999
low,line,c2,fruit,2029,investment,1350000.0000000002
low,line,c2,fruit,2029,capital_goods_imports,1147500.0000000002
low,line,c2,fruit,2029,tax_gross,1879.918739548495
low,line,c2,fruit,2029,customs_forgone,1731.375
low,line,c2,fruit,2029,tax_revenue,148.54373954849507
low,line,c2,fruit,2030,volume,1755.0
low,line,c2,fruit,2030,gross_output,526500.0
low,line,c2,fruit,2030,value_added,89505.0
low,line,c2,fruit,2030,indirect_va,107406.0
low,line,c2,fruit,2030,induced_va,8890.63043478261
low,line,c2,fruit,2030,total_va,205801.63043478262
low,line,c2,fruit,2030,household_income,92610.73369565218
low,line,c2,fruit,2030,import_substitution,78975.0
low,line,c2,fruit,2030,exports,368550.0
low,line,c2,fruit,2030,imported_inputs,78975.0
low,line,c2,fruit,2030,forgone_exports,0.0
low,line,c2,fruit,2030,net_fx,368550.0
low,line,c2,fruit,2030,jobs,28.799999999999997
low,line,c2,fruit,2030,investment,1800000.0
low,line,c2,fruit,2030,capital_goods_imports,1530000.0
low,line,c2,fruit,2030,tax_gross,5145.040760869566
low,line,c2,fruit,2030,customs_forgone,4738.5
low,line,c2,fruit,2030,tax_revenue,406.54076086956593
low,line,c2,fruit,2031,volume,3105.0
low,line,c2,fruit,2031,gross_output,931500.0
low,line,c2,fruit,2031,value_added,158355.0
low,line,c2,fruit,2031,indirect_va,190026.0
low,line,c2,fruit,2031,induced_va,15729.576923076927
low,line,c2,fruit,2031,total_va,364110.57692307694
low,line,c2,fruit,2031,household_income,163849.75961538462
low,line,c2,fruit,2031,import_substitution,139725.0
low,line,c2,fruit,2031,exports,652050.0
low,line,c2,fruit,2031,imported_inputs,139725.0
low,line,c2,fruit,2031,forgone_exports,0.0
low,line,c2,fruit,2031,net_fx,652050.0
low,line,c2,fruit,2031,jobs,43.199999999999996
low,line,c2,fruit,2031,investment,1799999.9999999998
low,line,c2,fruit,2031,capital_goods_imports,1529999.9999999998
low,line,c2,fruit,2031,tax_gross,9102.764423076924
low,line,c2,fruit,2031,customs_forgone,8383.5
low,line,c2,fruit,2031,tax_revenue,719.2644230769238
low,line,c2,fruit,2032,volume,4455.0
low,line,c2,fruit,2032,gross_output,1336500.0
low,line,c2,fruit,2032,value_added,227205.0
low,line,c2,fruit,2032,indirect_va,272646.0
low,line,c2,fruit,2032,induced_va,22568.523411371243
low,line,c2,fruit,2032,total_va,522419.5234113712
low,line,c2,fruit,2032,household_income,235088.78553511706
low,line,c2,fruit,2032,import_substitution,200475.0
low,line,c2,fruit,2032,exports,935550.0
